Nation ID,Nation,State ID,State,Municipality ID,Municipality,CVE Municipality Full,CVE Municipality,Municipality Slug,Municipality ES,Trade Value
mex,México,1,Aguascalientes,1001,Aguascalientes,01001,001,aguascalientes-mun-ag,Aguascalientes,498413142966
mex,México,1,Aguascalientes,1002,Asientos,01002,002,asientos-mun-ag,Asientos,1003032524
mex,México,1,Aguascalientes,1003,Calvillo,01003,003,calvillo-mun-ag,Calvillo,444177015
mex,México,1,Aguascalientes,1005,Jesús María,01005,005,jesus-maria-mun-ag,Jesús María,12013037308
mex,México,1,Aguascalientes,1006,Pabellón de Arteaga,01006,006,pabellon-de-arteaga-mun-ag,Pabellón de Arteaga,12549089
mex,México,1,Aguascalientes,1007,Rincón de Romos,01007,007,rincon-de-romos-mun-ag,Rincón de Romos,162798071
mex,México,1,Aguascalientes,1009,Tepezalá,01009,009,tepezala-mun-ag,Tepezalá,347461
mex,México,1,Aguascalientes,1010,El Llano,01010,010,el-llano-mun-ag,El Llano,43329096
mex,México,1,Aguascalientes,1011,San Francisco de los Romo,01011,011,san-francisco-de-los-romo-mun-ag,San Francisco de los Romo,179051284773
mex,México,2,Baja California,2001,Ensenada,02001,001,ensenada-mun-bc,Ensenada,301455045799
mex,México,2,Baja California,2002,Mexicali,02002,002,mexicali-mun-bc,Mexicali,2015601549870
mex,México,2,Baja California,2003,Tecate,02003,003,tecate-mun-bc,Tecate,179120026511
mex,México,2,Baja California,2004,Tijuana,02004,004,tijuana-mun-bc,Tijuana,5381122407541
mex,México,2,Baja California,2005,Playas de Rosarito,02005,005,playas-de-rosarito-mun-bc,Playas de Rosarito,145177804744
mex,México,3,Baja California Sur,3001,Comondú,03001,001,comondu-mun-bs,Comondú,4533653970
mex,México,3,Baja California Sur,3002,Mulegé,03002,002,mulege-mun-bs,Mulegé,11654796123
mex,México,3,Baja California Sur,3003,La Paz,03003,003,la-paz-mun-bs,La Paz,10011615880
mex,México,3,Baja California Sur,3008,Los Cabos,03008,008,los-cabos-mun-bs,Los Cabos,3901661541
mex,México,3,Baja California Sur,3009,Loreto,03009,009,loreto-mun-bs,Loreto,5146489
mex,México,4,Campeche,4001,Calkiní,04001,001,calkini-mun-cm,Calkiní,718216
mex,México,4,Campeche,4002,Campeche,04002,002,campeche-mun-cm,Campeche,5167138589
mex,México,4,Campeche,4003,Carmen,04003,003,carmen-mun-cm,Carmen,9189550759
mex,México,4,Campeche,4004,Champotón,04004,004,champoton-mun-cm,Champotón,33960002
mex,México,4,Campeche,4006,Hopelchén,04006,006,hopelchen-mun-cm,Hopelchén,17991102
mex,México,4,Campeche,4011,Candelaria,04011,011,candelaria-mun-cm,Candelaria,7677420
mex,México,5,Coahuila de Zaragoza,5002,Acuña,05002,002,acuna-mun-co,Acuña,343905341054
mex,México,5,Coahuila de Zaragoza,5003,Allende,05003,003,allende-mun-co,Allende,8572991
mex,México,5,Coahuila de Zaragoza,5004,Arteaga,05004,004,arteaga-mun-co,Arteaga,76854005383
mex,México,5,Coahuila de Zaragoza,5006,Castaños,05006,006,castanos-mun-co,Castaños,3544921100
mex,México,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,05007,007,cuatro-cienegas-mun-co,Cuatro Ciénegas,227896035
mex,México,5,Coahuila de Zaragoza,5009,Francisco I. Madero,05009,009,francisco-i.-madero-mun-co,Francisco I. Madero,232985451
mex,México,5,Coahuila de Zaragoza,5010,Frontera,05010,010,frontera-mun-co,Frontera,55359608744
mex,México,5,Coahuila de Zaragoza,5014,Jiménez,05014,014,jimenez-mun-co,Jiménez,307903
mex,México,5,Coahuila de Zaragoza,5017,Matamoros,05017,017,matamoros-mun-co,Matamoros,3859139996
mex,México,5,Coahuila de Zaragoza,5018,Monclova,05018,018,monclova-mun-co,Monclova,50967647559
mex,México,5,Coahuila de Zaragoza,5019,Morelos,05019,019,morelos-mun-co,Morelos,5773860
mex,México,5,Coahuila de Zaragoza,5020,Múzquiz,05020,020,muzquiz-mun-co,Múzquiz,1283189715
mex,México,5,Coahuila de Zaragoza,5022,Nava,05022,022,nava-mun-co,Nava,9241112113
mex,México,5,Coahuila de Zaragoza,5023,Ocampo,05023,023,ocampo-mun-co,Ocampo,512328
mex,México,5,Coahuila de Zaragoza,5024,Parras,05024,024,parras-mun-co,Parras,309650835
mex,México,5,Coahuila de Zaragoza,5025,Piedras Negras,05025,025,piedras-negras-mun-co,Piedras Negras,161672895098
mex,México,5,Coahuila de Zaragoza,5027,Ramos Arizpe,05027,027,ramos-arizpe-mun-co,Ramos Arizpe,895171778351
mex,México,5,Coahuila de Zaragoza,5028,Sabinas,05028,028,sabinas-mun-co,Sabinas,5900417107
mex,México,5,Coahuila de Zaragoza,5030,Saltillo,05030,030,saltillo-mun-co,Saltillo,319345382723
mex,México,5,Coahuila de Zaragoza,5031,San Buenaventura,05031,031,san-buenaventura-mun-co,San Buenaventura,2386021
mex,México,5,Coahuila de Zaragoza,5032,San Juan de Sabinas,05032,032,san-juan-de-sabinas-mun-co,San Juan de Sabinas,181595049
mex,México,5,Coahuila de Zaragoza,5033,San Pedro,05033,033,san-pedro-mun-co,San Pedro,110174543
mex,México,5,Coahuila de Zaragoza,5034,Sierra Mojada,05034,034,sierra-mojada-mun-co,Sierra Mojada,861459
mex,México,5,Coahuila de Zaragoza,5035,Torreón,05035,035,torreon-mun-co,Torreón,461595484548
mex,México,5,Coahuila de Zaragoza,5037,Villa Unión,05037,037,villa-union-mun-co,Villa Unión,1310333
mex,México,5,Coahuila de Zaragoza,5038,Zaragoza,05038,038,zaragoza-mun-co,Zaragoza,757045526
mex,México,6,Colima,6001,Armería,06001,001,armeria-mun-cl,Armería,318756208
